order_id,order_date,customer_id,product_id,warehouse_id,quantity,sales_amount,discount,delivery_days
O00001,2025-07-03,C2449,P0148,W003,3,11152.98,0.25,7
O00002,2025-01-07,C2282,P0076,W003,1,4222.51,0.05,8
O00003,2025-11-29,C3781,P0058,W003,5,39317.76,0.04,3
O00004,2025-10-16,C2671,P0423,W001,1,2550.17,0.14,2
O00005,2024-09-21,C2045,P0367,W002,8,21629.67,0.23,11
O00006,2024-12-04,C4943,P0350,W002,9,39845.17,0.09,6
O00007,2025-10-03,C3517,P0039,W004,10,47911.94,0.01,2
O00008,2025-07-22,C2080,P0003,W004,6,20650.63,0.1,3
O00009,2026-05-18,C2772,P0189,W004,6,21066.77,0.13,10
O00010,2026-04-22,C0039,P0495,W004,4,17934.68,0.0,5
O00011,2026-05-12,C0983,P0340,W005,4,23093.01,0.25,11
O00012,2026-03-17,C4235,P0141,W001,3,11455.83,0.18,3
O00013,2026-06-11,C4497,P0291,W005,5,6090.91,0.24,7
O00014,2025-01-16,C4397,P0073,W005,3,15867.36,0.04,10
O00015,2026-05-29,C1818,P0234,W005,3,2016.1,0.01,15
O00016,2025-05-29,C4532,P0274,W004,9,40690.81,0.14,12
O00017,2025-01-08,C4966,P0290,W004,10,42886.3,0.0,1
O00018,2025-03-10,C4229,P0267,W001,8,25674.84,0.08,15
O00019,2024-12-19,C4303,P0398,W003,8,40623.59,0.07,2
O00020,2025-07-24,C3796,P0400,W004,4,18037.38,0.18,7
O00021,2024-10-29,C0250,P0254,W001,8,23882.43,0.19,3
O00022,2024-06-12,C1199,P0445,W004,1,1108.38,0.19,6
O00023,2024-09-02,C4917,P0154,W004,10,44033.97,0.12,15
O00024,2024-11-09,C3365,P0191,W003,3,6770.41,0.12,7
O00025,2026-06-04,C2000,P0033,W001,10,37622.3,0.04,2
O00026,2025-09-01,C3923,P0219,W002,4,7378.55,0.07,5
O00027,2025-12-13,C0092,P0126,W003,1,4946.55,0.03,12
O00028,2025-10-13,C0014,P0190,W004,3,10402.64,0.1,7
O00029,2024-08-26,C3739,P0065,W003,3,6256.71,0.1,4
